캠페인,광고 소재,콘텐츠,키워드,딥링크,트래킹 링크
perplexity,-,event,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/hi-perplexity
perplexity,-,event,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/perplexity_koreapost
card-cancel,-,-,-,ispmobile://ablink?link_target=id&page_id=P1010PG001R,https://link.paybooc.co.kr/v8kbaw
card_conversion,-,typeA,-,ispmobile://ablink?link_target=id&page_id=P0912PG002W,https://link.paybooc.co.kr/conversion
tokakao,-,2504,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025030024,https://link.paybooc.co.kr/zuxfma
perplexity,-,event,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/suhyup_perplexity
perplexity,-,event,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/knbank_perplexity
perplexity,-,event,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/perplexity
shadow_2504,-,-,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025032100054906,https://link.paybooc.co.kr/noti_info_alim
fastreg_4BQ,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/vbm991
fastreg_4BO,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/3slc5u
fastreg_4BP,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/qewdnc
gmarket_timesale,-,-,-,ispmobile://ablink?link_target=id&page_id=P0625PG001W,https://link.paybooc.co.kr/gmarket_timesale
ktwiz_game_ticket,-,-,-,ispmobile://ablink?link_target=id&page_id=P9905PG001P,https://link.paybooc.co.kr/ktwiz_game
pybc_lab,-,-,-,ispmobile://ablink?link_target=id&page_id=P9912PG001W,https://link.paybooc.co.kr/fob9kr
eSIM-bridge,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG073P,https://link.paybooc.co.kr/esim
default,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/home
peach-event,-,202503,-,ispmobile://ablink?link_target=id&page_id=P1203PG006W&qnaCategory=paybooc_node_04,https://link.paybooc.co.kr/jo86ez
authRefs,-,drmcRlse,-,ispmobile://ablink?link_target=id&page_id=P1017PG001W,https://link.paybooc.co.kr/kf50di
잔돈저금통,-,-,-,ispmobile://ablink?link_target=id&page_id=P0519PG003W,https://link.paybooc.co.kr/jandonbank
마이태그,-,-,-,ispmobile://ablink?link_target=id&page_id=P0603PG005R,https://link.paybooc.co.kr/mytag
카드 명세서 상세,-,-,-,ispmobile://ablink?link_target=id&page_id=P0402PG001R,https://link.paybooc.co.kr/cardbillbaro
어디로든 그린카드 상세,-,-,-,ispmobile://ablink?link_target=id&page_id=P0901PG002W&cardPdctCd=102318,https://link.paybooc.co.kr/greencard
페이북 우체통 이벤트,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025010005,https://link.paybooc.co.kr/payboocpostboxevent
핀트,-,-,-,ispmobile://ablink?link_target=id&page_id=P0725PG005W,https://link.paybooc.co.kr/fint
